long lat depth rake_slip
-83.1175 8.14445 5803.0 0.0
-83.16255 8.17603 5813.0 0.0
-83.20823 8.20659 5818.0 0.0
-83.25448 8.23622 5800.0 0.0
-83.30123 8.26497 5764.0 0.02573
-83.34844 8.2929 5708.0 0.07416
-83.39607 8.32006 5625.0 0.12218
-83.44407 8.3465 5526.0 0.1371
-83.49241 8.37226 5413.0 0.12588
-83.54099 8.39741 5288.0 0.11464
-83.58952 8.42223 5161.0 0.11745
-83.63779 8.44704 5046.0 0.12817
-83.68563 8.47219 4965.0 0.13352
-83.73274 8.49807 4937.0 0.12528
-83.77873 8.52515 4954.0 0.10323
-83.82338 8.55385 4991.0 0.07337
-83.86706 8.58414 5037.0 0.04371
-83.08038 8.19501 7101.0 0.0
-83.12543 8.22658 7130.0 0.0
-83.17112 8.25715 7144.0 0.0
-83.21736 8.28678 7128.0 0.0
-83.26412 8.31553 7080.0 0.0
-83.31133 8.34346 7001.0 0.01457
-83.35896 8.37062 6891.0 0.05148
-83.40696 8.39706 6756.0 0.07506
-83.4553 8.42281 6601.0 0.08085
-83.50388 8.44797 6433.0 0.08606
-83.5524 8.47279 6264.0 0.10051
-83.60068 8.4976 6104.0 0.11835
-83.64851 8.52275 5972.0 0.12763
-83.69563 8.54863 5879.0 0.12061
-83.74162 8.57571 5825.0 0.09806
-83.78626 8.6044 5816.0 0.06761
-83.82995 8.6347 5851.0 0.03844
-82.99894 8.21292 8662.0 0.01254
-83.04327 8.24557 8727.0 0.0
-83.08832 8.27714 8776.0 0.0
-83.134 8.30771 8801.0 0.0
-83.18025 8.33734 8787.0 0.0
-83.22701 8.36609 8730.0 0.0
-83.27422 8.39402 8625.0 0.02001
-83.32184 8.42118 8484.0 0.04005
-83.36984 8.44762 8310.0 0.07657
-83.41818 8.47337 8104.0 0.07809
-83.46677 8.49853 7878.0 0.07256
-83.51529 8.52335 7655.0 0.08035
-83.56357 8.54816 7447.0 0.09744
-83.6114 8.57331 7261.0 0.10871
-83.65852 8.59918 7117.0 0.10347
-83.7045 8.62627 7026.0 0.08255
-83.74915 8.65496 6995.0 0.05441
-83.79283 8.68526 7020.0 0.02856
-83.83593 8.71685 7096.0 0.01057
-82.96182 8.26348 10620.0 0.03585
-83.00616 8.29613 10720.0 0.0
-83.05121 8.3277 10790.0 0.0
-83.09689 8.35827 10830.0 0.0
-83.14314 8.3879 10810.0 0.0
-83.18989 8.41665 10750.0 0.0
-83.23711 8.44458 10620.0 0.03832
-83.28473 8.47174 10450.0 0.03821
-83.33273 8.49817 10220.0 0.0367
-83.38107 8.52393 9961.0 0.03833
-83.42965 8.54909 9668.0 0.03234
-83.47818 8.57391 9376.0 0.03831
-83.52646 8.59872 9106.0 0.05411
-83.57429 8.62387 8862.0 0.06681
-83.62141 8.64974 8663.0 0.0659
-83.66739 8.67683 8528.0 0.05241
-83.71204 8.70552 8471.0 0.03345
-83.75572 8.73582 8483.0 0.0157
-83.79881 8.76741 8558.0 0.00425
-82.92471 8.31403 12990.0 0.03851
-82.96905 8.34668 13110.0 0.01492
-83.0141 8.37826 13210.0 0.0
-83.05978 8.40883 13270.0 0.00873
-83.10603 8.43846 13260.0 0.01966
-83.15278 8.46721 13180.0 0.01809
-83.19999 8.49514 13030.0 0.03706
-83.24762 8.5223 12810.0 0.03696
-83.29562 8.54873 12530.0 1e-05
-83.34396 8.57449 12210.0 0.0
-83.39254 8.59965 11850.0 0.0
-83.44107 8.62446 11480.0 0.0
-83.48934 8.64927 11130.0 0.00904
-83.53718 8.67442 10810.0 0.02021
-83.5843 8.7003 10550.0 0.025
-83.63028 8.72739 10370.0 0.02072
-83.67493 8.75608 10280.0 0.0121
-83.71861 8.78638 10270.0 0.00418
-83.7617 8.81797 10340.0 0.00022
-82.8876 8.36459 15790.0 0.0
-82.93194 8.39724 15950.0 0.0
-82.97699 8.42882 16070.0 0.0
-83.02267 8.45938 16150.0 0.0
-83.06892 8.48901 16140.0 0.02965
-83.11567 8.51777 16050.0 0.05965
-83.16288 8.5457 15870.0 0.06826
-83.21051 8.57285 15610.0 0.05235
-83.25851 8.59929 15270.0 0.0201
-83.30685 8.62505 14880.0 0.0
-83.35543 8.65021 14440.0 0.0
-83.40396 8.67502 13990.0 0.0
-83.45223 8.69983 13550.0 0.00156
-83.50007 8.72498 13160.0 0.01269
-83.54718 8.75086 12830.0 0.01886
-83.59317 8.77795 12590.0 0.01558
-83.63782 8.80664 12450.0 0.00827
-83.6815 8.83693 12430.0 0.00234
-83.72459 8.86853 12490.0 0.0
-82.85049 8.41515 19060.0 0.0
-82.89482 8.4478 19260.0 0.0007
-82.93987 8.47937 19410.0 0.00649
-82.98556 8.50994 19490.0 0.00563
-83.0318 8.53957 19480.0 0.03199
-83.07856 8.56832 19380.0 0.07591
-83.12577 8.59625 19170.0 0.09387
-83.1734 8.62341 18860.0 0.07928
-83.22139 8.64985 18460.0 0.04624
-83.26974 8.6756 17990.0 0.01669
-83.31832 8.70076 17470.0 0.00356
-83.36684 8.72558 16930.0 0.00014
-83.41512 8.75039 16400.0 0.00737
-83.46295 8.77554 15920.0 0.01712
-83.51007 8.80142 15510.0 0.02164
-83.55605 8.8285 15210.0 0.01797
-83.6007 8.8572 15030.0 0.01011
-83.64438 8.88749 14970.0 0.00321
-83.68748 8.91908 15020.0 0.0
-82.90276 8.52993 23240.0 0.04905
-82.94844 8.5605 23330.0 0.03738
-82.99469 8.59013 23310.0 0.02576
-83.04145 8.61888 23180.0 0.04346
-83.08866 8.64681 22930.0 0.05131
-83.13628 8.67397 22570.0 0.0398
-83.18428 8.70041 22100.0 0.0184
-83.23262 8.72616 21550.0 0.0017
-83.28121 8.75132 20950.0 0.0
-83.32973 8.77614 20310.0 0.00281
-83.37801 8.80095 19680.0 0.0116
-83.42584 8.8261 19110.0 0.01991
-83.47296 8.85198 18620.0 0.02223
-83.51894 8.87906 18240.0 0.0185
-83.56359 8.90775 18010.0 0.01199
-83.60727 8.93805 17920.0 0.00629
-82.91133 8.61106 27660.0 0.02487
-82.95758 8.64069 27620.0 0.00892
-83.00433 8.66944 27460.0 0.0
-83.05155 8.69737 27160.0 0.0
-83.09917 8.72453 26740.0 0.0
-83.14717 8.75097 26200.0 0.0
-83.19551 8.77672 25570.0 0.0
-83.24409 8.80188 24860.0 0.0
-83.29262 8.8267 24130.0 0.0012
-83.3409 8.85151 23400.0 0.00767
-83.38873 8.87666 22730.0 0.01491
-83.43585 8.90253 22140.0 0.01823
-83.48183 8.92962 21690.0 0.01675
-83.52648 8.95831 21400.0 0.01254
-82.87422 8.66162 32480.0 0.0
-82.92047 8.69125 32410.0 0.0
-82.96722 8.72 32210.0 0.0
-83.01443 8.74793 31860.0 0.0
-83.06206 8.77509 31360.0 0.0
-83.11006 8.80152 30750.0 0.0
-83.1584 8.82728 30020.0 0.0
-83.20698 8.85244 29220.0 0.0
-83.25551 8.87726 28370.0 0.0
-83.30378 8.90207 27540.0 0.00204
-83.35162 8.92722 26760.0 0.006
-83.39873 8.95309 26080.0 0.00898
-83.44472 8.98018 25540.0 0.0094
